time	d_word	d_score	r_word	r_score	
2015_3q	#actonclimate	139.83714	icymi	139.83714
2015_4q	s	430.15646	s	430.15646
2015_4q	today	360.04817	thanks	360.04817
2015_4q	w	330.84604	today	330.84604
2015_4q	great	329.43720	thank	329.43720
2015_4q	must	253.46258	great	253.46258
2015_4q	thank	242.50147	happy	242.50147
2015_4q	need	240.34160	bill	240.34160
2015_4q	us	239.21141	w	239.21141
2015_4q	thanks	238.41078	house	238.41078
2015_4q	bill	232.85458	via	232.85458
2015_4q	time	216.63538	u	216.63538
2015_4q	health	208.69150	president	208.69150
2015_4q	new	203.93834	watch	203.93834
2015_4q	good	203.87252	support	203.87252
2015_4q	act	201.02831	senate	201.02831
2015_4q	congress	198.79331	tune	198.79331
2015_4q	work	190.56418	live	190.56418
2015_4q	happy	187.32378	us	187.32378
2015_4q	support	186.33681	i	186.33681
2015_4q	day	179.32864	obama	179.32864
2015_4q	proud	179.18004	help	179.18004
2015_4q	t	178.11769	birthday	178.11769
2015_4q	help	177.03675	veterans	177.03675
2015_4q	watch	172.81285	read	172.81285
2015_4q	women	170.64887	morning	170.64887
2015_4q	jobs	167.87300	week	167.87300
2015_4q	people	165.88908	new	165.88908
2015_4q	read	163.11740	must	163.11740
2015_4q	families	163.11465	time	163.11465
2015_4q	hearing	158.71098	t	158.71098
2015_4q	see	155.80049	good	155.80049
2015_4q	th	152.85055	family	152.85055
2015_4q	join	148.51136	day	148.51136
2015_4q	house	148.29429	#ia	148.29429
2015_4q	let	147.72845	icymi	147.72845
2015_4q	congrats	144.49040	discuss	144.49040
2015_4q	students	144.24777	work	144.24777
2015_4q	americans	142.77888	people	142.77888
2015_4q	live	142.30453	#ff	142.30453
2015_4q	go	140.22433	voted	140.22433
2015_4q	#actonclimate	135.82376	act	135.82376
2015_4q	family	135.43136	american	135.43136
2015_4q	make	135.04163	th	135.04163
2015_4q	news	132.89591	security	132.89591
2015_4q	american	132.68015	christmas	132.68015
2015_4q	year	132.32839	military	132.32839
2015_4q	violence	132.27071	#ndaa	132.27071
2015_4q	right	129.00865	listen	129.00865
2015_4q	one	128.80797	hearing	128.80797
2015_4q	get	126.60866	joining	126.60866
2016_1q	s	486.59155	s	486.59155
2016_1q	try	402.02948	thanks	402.02948
2016_1q	today	367.60928	today	367.60928
2016_1q	w	351.73485	great	351.73485
2016_1q	great	339.11475	happy	339.11475
2016_1q	women	293.86464	thank	293.86464
2016_1q	#sotu	272.12927	w	272.12927
2016_1q	new	264.30879	president	264.30879
2016_1q	work	247.52733	via	247.52733
2016_1q	thanks	245.86625	live	245.86625
2016_1q	must	244.23175	obama	244.23175
2016_1q	need	229.08015	birthday	229.08015
2016_1q	thank	224.35698	help	224.35698
2016_1q	us	220.53011	us	220.53011
2016_1q	happy	219.82240	watch	219.82240
2016_1q	time	209.55115	tune	209.55115
2016_1q	congress	206.20091	week	206.20091
2016_1q	act	204.83910	senate	204.83910
2016_1q	good	201.59120	morning	201.59120
2016_1q	people	201.01175	bill	201.01175
2016_1q	proud	198.31171	i	198.31171
2016_1q	bill	198.17952	#sotu	198.17952
2016_1q	year	196.89965	house	196.89965
2016_1q	health	194.48067	#ia	194.48067
2016_1q	make	191.02145	support	191.02145
2016_1q	t	186.26175	people	186.26175
2016_1q	hearing	184.83672	read	184.83672
2016_1q	help	184.56933	office	184.56933
2016_1q	americans	180.76912	american	180.76912
2016_1q	families	179.28441	new	179.28441
2016_1q	support	176.22828	day	176.22828
2016_1q	senate	166.30809	good	166.30809
2016_1q	day	166.06084	t	166.06084
2016_1q	right	164.72563	proud	164.72563
2016_1q	join	164.08232	state	164.08232
2016_1q	read	163.83169	time	163.83169
2016_1q	watch	162.64528	u	162.64528
2016_1q	one	160.88297	hearing	160.88297
2016_1q	students	154.16558	see	154.16558
2016_1q	see	153.05029	join	153.05029
2016_1q	american	152.56780	congrats	152.56780
2016_1q	years	152.16839	work	152.16839
2016_1q	live	151.26309	one	151.26309
2016_1q	state	150.73616	listen	150.73616
2016_1q	i	148.26759	icymi	148.26759
2016_1q	vote	145.95431	meeting	145.95431
2016_1q	congrats	144.95456	tonight	144.95456
2016_1q	m	143.85414	must	143.85414
2016_1q	let	142.63591	year	142.63591
2016_1q	working	140.65340	#ff	140.65340
2016_2q	s	555.55182	thanks	555.55182
2016_2q	today	464.92165	thank	464.92165
2016_2q	great	417.27045	s	417.27045
2016_2q	w	402.90322	today	402.90322
2016_2q	thank	348.81809	great	348.81809
2016_2q	#nobillnobreak	322.42617	happy	322.42617
2016_2q	gun	307.59264	via	307.59264
2016_2q	thanks	303.48317	w	303.48317
2016_2q	must	299.74531	bill	299.74531
2016_2q	us	297.58618	#ia	297.58618
2016_2q	women	287.09787	birthday	287.09787
2016_2q	work	281.22686	day	281.22686
2016_2q	need	277.69793	help	277.69793
2016_2q	time	274.81494	live	274.81494
2016_2q	proud	273.47134	week	273.47134
2016_2q	house	270.48568	house	270.48568
2016_2q	bill	263.09074	office	263.09074
2016_2q	day	259.05927	support	259.05927
2016_2q	new	259.01074	morning	259.01074
2016_2q	vote	258.51617	senate	258.51617
2016_2q	people	245.54700	good	245.54700
2016_2q	act	237.84378	proud	237.84378
2016_2q	families	236.84098	work	236.84098
2016_2q	health	234.91115	tune	234.91115
2016_2q	congress	233.04598	u	233.04598
2016_2q	support	231.71596	read	231.71596
2016_2q	violence	226.09372	watch	226.09372
2016_2q	americans	223.90775	act	223.90775
2016_2q	happy	223.67020	congrats	223.67020
2016_2q	help	220.92521	us	220.92521
2016_2q	good	220.14432	hearing	220.14432
2016_2q	join	217.73256	students	217.73256
2016_2q	t	206.40886	i	206.40886
2016_2q	floor	203.46980	meeting	203.46980
2016_2q	one	195.61085	time	195.61085
2016_2q	action	195.32351	people	195.32351
2016_2q	students	195.28845	veterans	195.28845
2016_2q	congrats	187.77152	obama	187.77152
2016_2q	see	184.88727	enjoyed	184.88727
2016_2q	community	183.20204	service	183.20204
2016_2q	watch	176.55051	t	176.55051
2016_2q	read	176.41271	honor	176.41271
2016_2q	american	175.63179	see	175.63179
2016_2q	i	173.54165	icymi	173.54165
2016_2q	stand	172.48174	one	172.48174
2016_2q	th	170.70926	american	170.70926
2016_2q	senate	169.97654	join	169.97654
2016_2q	live	169.60868	national	169.60868
2016_2q	get	169.19653	new	169.19653
2016_2q	make	167.12880	need	167.12880
2016_3q	s	420.66793	thanks	420.66793
2016_3q	today	331.01293	thank	331.01293
2016_3q	great	314.44125	s	314.44125
2016_3q	w	294.65304	great	294.65304
2016_3q	thanks	274.80293	today	274.80293
2016_3q	thank	259.52310	via	259.52310
2016_3q	us	239.36054	happy	239.36054
2016_3q	must	233.98988	w	233.98988
2016_3q	new	228.28704	live	228.28704
2016_3q	need	228.27272	#ia	228.27272
2016_3q	people	212.50322	help	212.50322
2016_3q	happy	207.22792	bill	207.22792
2016_3q	time	204.83072	day	204.83072
2016_3q	gun	200.73659	morning	200.73659
2016_3q	proud	198.91710	house	198.91710
2016_3q	work	196.44317	office	196.44317
2016_3q	#disarmhate	193.14406	th	193.14406
2016_3q	join	189.16794	week	189.16794
2016_3q	congress	187.95010	good	187.95010
2016_3q	t	186.20129	u	186.20129
2016_3q	day	186.03053	read	186.03053
2016_3q	th	184.72717	work	184.72717
2016_3q	bill	183.98091	i	183.98091
2016_3q	violence	179.28415	us	179.28415
2016_3q	help	173.86297	new	173.86297
2016_3q	act	171.12722	birthday	171.12722
2016_3q	good	162.36308	proud	162.36308
2016_3q	trump	160.50334	tune	160.50334
2016_3q	one	160.23267	clinton	160.23267
2016_3q	#doyourjob	159.50237	watch	159.50237
2016_3q	vote	158.75266	time	158.75266
2016_3q	support	158.66475	see	158.66475
2016_3q	house	158.07356	support	158.07356
2016_3q	see	157.79270	obama	157.79270
2016_3q	american	157.75301	senate	157.75301
2016_3q	live	155.86863	stop	155.86863
2016_3q	it	153.60081	congrats	153.60081
2016_3q	women	149.80217	state	149.80217
2016_3q	americans	146.55534	veterans	146.55534
2016_3q	families	145.90423	county	145.90423
2016_3q	#zika	144.63057	meeting	144.63057
2016_3q	congrats	140.87270	act	140.87270
2016_3q	make	138.61911	m	138.61911
2016_3q	community	136.78389	service	136.78389
2016_3q	get	136.25941	hearing	136.25941
2016_3q	years	135.61029	iran	135.61029
2016_3q	i	135.04108	one	135.04108
2016_3q	m	131.08869	t	131.08869
2016_3q	watch	128.92349	#tx	128.92349
2016_3q	hearing	128.82951	listen	128.82951
2016_4q	s	340.46513	thanks	340.46513
2016_4q	thank	238.35707	thank	238.35707
2016_4q	thanks	227.23623	s	227.23623
2016_4q	today	227.02934	great	227.02934
2016_4q	great	212.85393	today	212.85393
2016_4q	w	195.21438	happy	195.21438
2016_4q	trump	184.64328	via	184.64328
2016_4q	us	180.24428	w	180.24428
2016_4q	new	179.38808	u	179.38808
2016_4q	must	168.06929	birthday	168.06929
2016_4q	proud	165.87459	th	165.87459
2016_4q	happy	163.14057	office	163.14057
2016_4q	work	142.93480	veterans	142.93480
2016_4q	join	141.08707	people	141.08707
2016_4q	vote	136.57782	time	136.57782
2016_4q	t	135.45526	work	135.45526
2016_4q	day	134.27813	day	134.27813
2016_4q	support	133.16922	help	133.16922
2016_4q	women	132.17348	new	132.17348
2016_4q	need	126.87768	family	126.87768
2016_4q	year	124.56308	good	124.56308
2016_4q	congrats	124.43939	morning	124.43939
2016_4q	people	123.68818	support	123.68818
2016_4q	help	120.12609	us	120.12609
2016_4q	i	119.71372	bill	119.71372
2016_4q	get	113.68435	read	113.68435
2016_4q	time	111.89587	congratulations	111.89587
2016_4q	community	109.49229	obama	109.49229
2016_4q	make	109.16119	#ia	109.16119
2016_4q	american	107.95742	live	107.95742
2016_4q	family	105.25602	congrats	105.25602
2016_4q	good	102.42506	tune	102.42506
2016_4q	one	101.79480	congress	101.79480
2016_4q	right	101.17860	state	101.17860
2016_4q	it	98.83314	proud	98.83314
2016_4q	m	98.13694	house	98.13694
2016_4q	let	96.78121	service	96.78121
2016_4q	house	96.49067	st	96.49067
2016_4q	president	94.43611	see	94.43611
2016_4q	th	94.40354	i	94.40354
2016_4q	congress	92.34832	president	92.34832
2016_4q	election	90.78758	care	90.78758
2016_4q	see	90.43681	t	90.43681
2016_4q	fight	90.43564	honor	90.43564
2016_4q	students	89.79498	obamacare	89.79498
2016_4q	americans	89.00045	act	89.00045
2016_4q	health	87.54444	week	87.54444
2016_4q	stand	87.38667	christmas	87.38667
2016_4q	veterans	87.00814	families	87.00814
2016_4q	read	86.09654	#tx	86.09654
2017_1q	s	1264.52303	great	1264.52303
2017_1q	trump	970.24537	today	970.24537
2017_1q	health	834.49320	s	834.49320
2017_1q	#trumpcare	810.68177	thank	810.68177
2017_1q	care	737.18012	thanks	737.18012
2017_1q	today	702.78884	w	702.78884
2017_1q	americans	673.75447	tune	673.75447
2017_1q	bill	665.70755	happy	665.70755
2017_1q	thank	647.39934	live	647.39934
2017_1q	w	640.72362	work	640.72362
2017_1q	women	632.48514	obamacare	632.48514
2017_1q	#aca	631.60512	house	631.60512
2017_1q	people	626.01438	statement	626.01438
2017_1q	thanks	608.82258	morning	608.82258
2017_1q	gop	578.52095	congress	578.52095
2017_1q	t	577.98857	office	577.98857
2017_1q	must	566.96946	watch	566.96946
2017_1q	would	564.26281	meeting	564.26281
2017_1q	need	535.05633	day	535.05633
2017_1q	us	507.99907	gorsuch	507.99907
2017_1q	i	494.04788	discuss	494.04788
2017_1q	president	488.71838	hearing	488.71838
2017_1q	american	485.51032	week	485.51032
2017_1q	great	484.98883	i	484.98883
2017_1q	new	452.18594	good	452.18594
2017_1q	house	449.10552	health	449.10552
2017_1q	families	443.42611	#obamacare	443.42611
2017_1q	plan	424.60548	bill	424.60548
2017_1q	proud	423.83497	read	423.83497
2017_1q	fight	416.71814	support	416.71814
2017_1q	m	414.04940	via	414.04940
2017_1q	coverage	410.48590	forward	410.48590
