coef_d	feat_d	coef_r	feat_r	section	model	acc_d	acc_r	acc_all	recall	f1	support
-2.73831	simcakoski	2.93732	hr2646	2016_2q	LinearSVC	0.79	0.77	0.78	0.78	0.78	12059
-2.71949	ca31	2.93731	topeka	2016_2q	LinearSVC	0.79	0.77	0.78	0.78	0.78	12059
-2.69488	stephcurry	2.93182	iran	2016_2q	LinearSVC	0.79	0.77	0.78	0.78	0.78	12059
-2.6778	defendtradesecrets	2.91633	mentalillness	2016_2q	LinearSVC	0.79	0.77	0.78	0.78	0.78	12059
-2.63668	fleeing	2.89755	fl12	2016_2q	LinearSVC	0.79	0.77	0.78	0.78	0.78	12059
-2.6242	weapons	2.88922	copolitics	2016_2q	LinearSVC	0.79	0.77	0.78	0.78	0.78	12059
-2.60306	eagles	2.86607	7things	2016_2q	LinearSVC	0.79	0.77	0.78	0.78	0.78	12059
-2.59187	12th	2.83266	kansans	2016_2q	LinearSVC	0.79	0.77	0.78	0.78	0.78	12059
-2.58967	crashes	2.80055	wsj	2016_2q	LinearSVC	0.79	0.77	0.78	0.78	0.78	12059
-2.58755	restorethevote	2.78096	wa08	2016_2q	LinearSVC	0.79	0.77	0.78	0.78	0.78	12059
-2.58547	childnutrition	2.75636	spurs	2016_2q	LinearSVC	0.79	0.77	0.78	0.78	0.78	12059
-2.5721	nh	2.75448	sd	2016_2q	LinearSVC	0.79	0.77	0.78	0.78	0.78	12059
-2.54956	costa	2.75428	obama	2016_2q	LinearSVC	0.79	0.77	0.78	0.78	0.78	12059
-2.52249	boyle	2.73328	battleborn	2016_2q	LinearSVC	0.79	0.77	0.78	0.78	0.78	12059
-2.52095	concord	2.72842	alexander	2016_2q	LinearSVC	0.79	0.77	0.78	0.78	0.78	12059
-2.51667	wrongway	2.7222	nationaldayofprayer	2016_2q	LinearSVC	0.79	0.77	0.78	0.78	0.78	12059
-5.97763	mtpol	6.71978	ia03	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-4.58683	wv	6.15641	obamacare	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-4.28514	doyourjob	5.91511	tx23	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-3.94358	nytownoftheday	5.43146	iran	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-3.87189	murray	5.42074	hatch	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-3.63567	gunviolence	5.31625	nj03	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-3.29176	lgbt	5.26833	obama	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-3.25134	mn	5.1297	collins	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-3.13744	ny04	5.118	isis	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-3.08361	ri	4.9207	ia01	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-3.00976	fightforfamilies	4.91294	gitmo	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-2.97419	md	4.91008	ak	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-2.92879	nobillnobreak	4.61161	irs	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-2.88432	nc01	4.57066	arkansas	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-2.70047	gun	4.37589	ohio	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-2.53886	ramadan	4.36684	va	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-2.53458	mhm2016	4.32053	islamic	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-2.50472	nh	4.2815	clinton	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-2.45066	gop	4.20893	honest	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-2.38047	weapons	4.16057	fl	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-2.3786	tx29	4.07173	iowa	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-2.37612	wrongway	4.04828	alexander	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-2.37322	netde	4.00787	ur	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-2.25894	oregon	3.97564	regulations	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-2.19743	defendtradesecrets	3.97263	betterway	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-2.14859	ny	3.97129	constitution	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-2.12922	cantwell	3.95627	sd	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-2.11765	buffalo	3.75322	ne03	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-2.03752	ca31	3.73261	mcconnell	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-1.9652	memphis	3.72228	ga10	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-1.95587	mass	3.67036	syria	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-1.93922	makeitinamerica	3.66242	ga	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-1.90802	nj	3.59726	kansas	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-1.87972	district	3.5964	ru	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-1.87609	wny	3.58835	ar3	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-1.86911	fair	3.58736	sayfie	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-1.852	democracy	3.47906	terrorism	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-1.8489	overtimerule	3.46025	venezuela	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-1.82005	periscope	3.45999	ny21	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-1.78912	equalpay	3.44361	az	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-1.78217	workers	3.40217	mo	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-1.78071	virginia	3.39598	fl12	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-1.76217	earthday	3.38317	liberty	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-1.75568	actonclimate	3.38041	praying	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-1.74762	twill	3.36139	rubio	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-1.74374	postal	3.3345	ndaa	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-1.73543	yakima	3.32796	bringbackourgirls	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-1.71751	friend	3.32567	nv	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-1.71547	equality	3.31317	catfish	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-1.70175	restorethevote	3.29368	7things	2016_2q	SGDClassifier	0.71	0.77	0.74	0.73	0.73	12059
-3.61121	mtpol	4.0964	ia03	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-3.07031	wv	3.83006	obamacare	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-2.93398	doyourjob	3.70205	tx23	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-2.83201	nytownoftheday	3.54459	iran	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-2.79042	murray	3.42596	obama	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-2.6882	lgbt	3.13641	nj03	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-2.67942	nobillnobreak	3.04564	isis	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-2.53334	mn	2.94732	irs	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-2.35047	gun	2.91885	hatch	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-2.30086	gunviolence	2.87596	collins	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-2.14986	md	2.85292	ia01	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-2.10546	oregon	2.77425	va	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-2.08915	ri	2.73384	clinton	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.96782	nc01	2.69727	gitmo	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.95088	ny	2.67777	arkansas	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.92155	tx29	2.58988	betterway	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.91743	gop	2.54195	ohio	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.89776	buffalo	2.39911	alexander	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.89238	fightforfamilies	2.38584	terrorism	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.88721	ny04	2.30574	regulations	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.86504	weapons	2.27431	ak	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.85909	mhm2016	2.27114	ny21	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.8308	cantwell	2.2377	bringbackourgirls	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.8159	netde	2.21899	ne03	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.78942	nh	2.21467	iowa	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.78014	workers	2.1707	sd	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.77358	prince	2.14794	military	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.77098	earthday	2.14031	mcconnell	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.76742	niagara	2.07795	ar3	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.73808	memphis	2.03664	ndaa	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.73795	fair	2.03395	nv	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.71654	friend	2.01238	mo	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.70493	district	2.00404	sayfie	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.69279	women	2.00169	kansas	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.68827	dreamers	2.00037	check	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.67048	defendtradesecrets	1.99636	constitution	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.66567	yakima	1.98324	county	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.65429	wny	1.97207	fl	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.62979	mass	1.96928	disagree	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.62364	food	1.96347	islamic	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.6066	tpp	1.93111	troops	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.59773	nj	1.89117	liberty	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.58222	actonclimate	1.88806	ga	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.56629	democracy	1.86484	taliban	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.56254	tsca	1.86019	arizona	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.55739	makeitinamerica	1.82677	tune	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.55733	nova	1.82321	montana	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.54528	families	1.8231	usaact	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.54372	postal	1.82241	god	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-1.54224	lgbtequality	1.7932	ga10	2016_2q	SGDClassifier	0.76	0.78	0.77	0.77	0.77	12059
-15.1248	00k	-5.19937	today	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	1	-5.25145	thanks	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
